kappa_0.16,,kappa_0.23_main,,kappa_0.30_main,,kappa_0.37_main,,kappa_0.23_bullet,,kappa_0.30_bullet,,kappa_0.16_nw,,kappa_0.16_uc,,kappa_0.16_ur,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-1.5474845478027588,-0.020567875239841993,-2.1253900343090697,-0.05271596784277005,-1.0187828543472193,-0.04480188429693762,,,-3.819321365684833,-0.05168245338586579,,,,,,,,
-1.5963431898944298,-0.02113314277706152,-2.047399559882961,-0.05361795311006189,-1.0117706965220337,-0.043923658414382734,,,,,,,,,,,,
-1.6510871333203132,-0.02113399910645134,-1.96944182704981,-0.054369404684616277,,,,,,,,,,,,,,
-1.6886171842484938,-0.02079588420737457,-1.897353024754392,-0.054631711897709684,,,,,,,,,,,,,,
-1.7780508454134465,-0.020270413451797913,-1.7821108029402464,-0.054592275675809904,,,,,,,,,,,,,,
-1.8184948981148954,-0.01978180992995157,-1.6987097802778177,-0.0538759336062383,,,,,,,,,,,,,,
-2.112416178099436,-0.01963587337393844,-1.6239116111651202,-0.053347893862492175,,,,,,,,,,,,,,
-2.1324376621932926,-0.020313590481032193,-1.5144728367027909,-0.05312038066460634,,,,,,,,,,,,,,
-2.100596463041575,-0.02099049632870402,-1.4050586184351799,-0.05277996719716741,,,,,,,,,,,,,,
-2.094547453742573,-0.022307576000221006,-1.301267768758117,-0.05307941206379845,,,,,,,,,,,,,,
-2.154939321953723,-0.022835390394127707,-1.2061943682061382,-0.053040291331673865,,,,,,,,,,,,,,
-2.200875776873886,-0.02358877997730116,-1.1113256026101475,-0.05206033501994017,,,,,,,,,,,,,,
-2.23531174726753,-0.024229089011049983,-1.0393923228812805,-0.05160760719253066,,,,,,,,,,,,,,
-2.3332827787962973,-0.024192987966773723,-0.9273014793893479,-0.05032631307551473,,,,,,,,,,,,,,
-2.399453538164545,-0.024645625654247466,-0.8669832797623545,-0.049459797872948755,,,,,,,,,,,,,,
-2.4279141678433422,-0.026264313550853992,-0.8181410084671625,-0.0488192634893605,,,,,,,,,,,,,,
-2.519967156444939,-0.02694315740714489,-0.8242145739608835,-0.04738928354829042,,,,,,,,,,,,,,
-2.640677224283082,-0.028337487003617566,-0.8245501752887037,-0.04584631319773148,,,,,,,,,,,,,,
-2.902790046708864,-0.02871792260253879,-0.8133689212935247,-0.044265529144116626,,,,,,,,,,,,,,
-2.968780727315843,-0.02999849560006855,-0.7819615482485016,-0.04294786356301712,,,,,,,,,,,,,,
-3.0232136256086246,-0.031429422010464225,-0.7620055473405614,-0.041969079070448445,,,,,,,,,,,,,,
-3.13847221821925,-0.03139359138599528,-0.7593289221162398,-0.04102819842087145,,,,,,,,,,,,,,
-3.2334473939923543,-0.03188431319633224,-0.7221262871176393,-0.03986097639257364,,,,,,,,,,,,,,
-3.331287459149289,-0.032450346923005816,-0.6561192357141821,-0.03865567024141261,,,,,,,,,,,,,,
-3.4148603751747473,-0.032376387105705756,-0.6332819746259322,-0.03767684067887605,,,,,,,,,,,,,,
-3.524397374415951,-0.032152299225379224,-0.6306135347998503,-0.03669832660611469,,,,,,,,,,,,,,
-3.67426383078325,-0.031966475747787444,-0.685603040172919,-0.035570180239973576,,,,,,,,,,,,,,
-3.7663413755795663,-0.03253241933452524,-0.7404943207671133,-0.03489363495204483,,,,,,,,,,,,,,
-3.8699030341059224,-0.03328671031705641,-0.7493427362640301,-0.033952934582339375,,,,,,,,,,,,,,
-3.9648618390825474,-0.0338526989737621,-0.7322679955363998,-0.03297419515973859,,,,,,,,,,,,,,
-4.062841056009555,-0.033778964506301475,-0.7526578225510341,-0.03195840822353595,,,,,,,,,,,,,,
-4.1923667977516565,-0.03438312742580616,,,,,,,,,,,,,,,,
-4.304719573987255,-0.03446015200092242,,,,,,,,,,,,,,,,
-4.394046824975092,-0.03442391574674251,,,,,,,,,,,,,,,,
-4.468705842317719,-0.03559172368462283,,,,,,,,,,,,,,,,
-4.592567288478074,-0.03574419538597936,,,,,,,,,,,,,,,,
-4.635696151802083,-0.03615883909052565,,,,,,,,,,,,,,,,
-4.623720914177673,-0.038228497085794164,,,,,,,,,,,,,,,,
-4.669690110690794,-0.03883135297623015,,,,,,,,,,,,,,,,
-4.819417415288021,-0.03928529769277258,,,,,,,,,,,,,,,,
-4.911314881323069,-0.04067917658956639,,,,,,,,,,,,,,,,
-4.922463393725288,-0.04241049433591871,,,,,,,,,,,,,,,,
-4.919344756996033,-0.04350181853829739,,,,,,,,,,,,,,,,
-4.939251645514536,-0.044706403569972256,,,,,,,,,,,,,,,,
-4.973663059713461,-0.04545961287327417,,,,,,,,,,,,,,,,
-5.008066288514147,-0.04625045559976045,,,,,,,,,,,,,,,,
-5.0596261120248585,-0.04764370351700388,,,,,,,,,,,,,,,,
-5.091107153654038,-0.0486226682894441,,,,,,,,,,,,,,,,
-5.108157338186949,-0.04971430798159798,,,,,,,,,,,,,,,,
-5.11644096120534,-0.05137031381161367,,,,,,,,,,,,,,,,
-5.113338695272564,-0.05238637116762363,,,,,,,,,,,,,,,,
-5.110187316950349,-0.05362822906273978,,,,,,,,,,,,,,,,
-5.05233292219345,-0.05468106351254427,,,,,,,,,,,,,,,,
-4.997384343811579,-0.05562104276276356,,,,,,,,,,,,,,,,
-4.979867591579015,-0.05667450819211846,,,,,,,,,,,,,,,,
-4.939325314098691,-0.05761471279217717,,,,,,,,,,,,,,,,
