MatchRA,MatchDec,MatchID,NumImages,NumFilters,NumVisits,A_F606W,A_F775W,A_F814W,A_F850LP,W3_F110W,W3_F160W,CI
104.62031870121272,-55.93108121431114,100593156,3,3,2,,26.297199249267575,,,26.39859962463379,26.065900802612305,1.5772948436896594
104.54545886020536,-55.96715622945788,100611375,2,2,1,25.697900772094727,,25.50510025024414,,,,1.582407399460121
104.6025725249646,-55.927406114698016,100629951,4,3,2,25.050600051879883,,25.265899658203125,,,,1.8856944309340584
104.64343974662611,-55.94078636770863,100640859,2,2,1,,,,,26.77910041809082,26.26490020751953,2.697122816655681
104.667362939963,-55.96954061133299,100653099,6,4,4,,24.145099639892575,,23.60059928894043,23.319649696350098,22.99324989318848,2.036975394325283
104.60096877228058,-55.92460417806102,100658341,4,4,2,26.08769989013672,,25.343900680541992,,24.66959953308105,24.626100540161133,2.188446816587386
104.5933224622172,-55.9486448913035,100658993,2,2,1,25.817699432373047,,25.417499542236328,,,,1.762870395625079
104.62467731845844,-55.952733015244455,100676626,2,2,2,,,,24.03400039672852,,23.10260009765625,1.9285705444804184
104.6584478074666,-55.92518103745913,100679371,7,5,6,,24.9192008972168,,25.08609962463379,24.622900009155277,24.62669944763184,1.85283527799078
104.60849210052554,-55.92976679377595,100680146,1,1,1,,25.414899826049805,,,,,1.8943519503981976
104.57481878060604,-55.94317876338309,15311547,3,3,2,20.047100067138672,,19.039600372314453,,,,1.7319444520973863
104.64765155404004,-55.926577927973526,15324032,3,3,2,24.51740074157715,23.982799530029297,23.904300689697266,,,,2.092098748242414
104.6722002505584,-55.96852553732047,15338277,7,5,5,25.032699584960938,24.138500213623047,,23.972000122070312,23.4977502822876,23.340200424194336,2.177885357027823
104.6811149171678,-55.94778959523633,15359839,2,2,1,,,,,25.49679946899414,25.6028995513916,2.364145843649724
104.68181572756828,-55.92979292915712,15400768,5,3,5,,24.45359992980957,,25.14520072937012,,,2.0086562766607625
104.60973506089664,-55.960658590087725,15450763,2,2,1,,,,,24.765399932861328,24.452299118041992,2.339849355759651
104.52583242482083,-55.95525646812738,15544979,2,2,1,27.09749984741211,,26.313400268554688,,,,1.8718055552906456
104.67217669538302,-55.96595256298737,15553403,4,2,2,,,,,24.00040054321289,23.85874938964844,3.3544696446484337
104.63420858625176,-55.96468009692794,15553848,6,5,5,25.16550064086914,24.545499801635746,,24.22050094604492,23.789100646972656,23.577150344848636,2.020953133170861
104.60745133996194,-55.92938773043862,15556453,1,1,1,,26.116600036621094,,,,,1.832407381799486
104.61765346226844,-55.93149497579613,15563358,2,2,1,,,,,26.625,26.394800186157227,1.4787886101109131
